	FOSL2-3	FOSL2-2	FOSL2-1	RB IgG-2	RB IgG-1	RB IgG-3
AP2A1	-1.38295	0.964175	0.0221091	0	0	0.396661
SMTN	-0.952362	1.04165	-0.0892886	0	0	0
SLC7A5	-1.25856	0.694694	-0.0783506	0	-0.606541	1.24876
USP7	-0.578724	0.540008	-1.06984	0	0	1.10856
EIF2S1	-1.11736	1.1373	0.0196456	0.8337	0	-0.873285
NUFIP2	-1.23106	0.0719288	-0.0558643	1.21499	0	0
PPM1G	0.166409	0.906356	-1.07277	0	0	0
JUN	0.165601	0.906862	-1.07246	0	0	0
LSG1	0.13225	0.927295	-1.05954	0	0	0
BAG6	0	0.707107	-0.707107	0	0	0
NOP10	0.0215316	1.32719	-1.07968	0	-0.269043	0
LARP4B	0.351346	1.42922	-1.17179	-0.675538	0.0667581	0
AHCYL1	-0.4519	1.14619	-0.694289	0	0	0
HNRNPH2	-0.285257	1.11163	-0.826377	0	0	0
STK40	0.489161	0.661257	-1.15042	0	0	0
EPSTI1	0.494136	0.656742	-1.15088	0	0	0
COP1	0.457261	0.68962	-1.14688	0	0	0
NPLOC4	0.52805	0.625285	-1.15334	0	0	0
ASPSCR1	0.536366	0.617386	-1.15375	0	0	0
JUNB	0.363186	0.767655	-1.13084	0	0	0
ARHGAP30	0.763358	0.36863	-1.13199	0	0	0
FAM104A	0.776916	0.35134	-1.12826	0	0	0
SIRT1	0.669558	0.479941	-1.1495	0	0	0
ABLIM1	1.13307	-0.373868	-0.759199	0	0	0
TCOF1	1.11023	-0.280277	-0.829956	0	0	0
DHX15	0.99135	0.0170819	-1.00843	0	0	0
SRI	0.992324	0.0151796	-1.0075	0	0	0
STAU1	0.707107	0	-0.707107	0	0	0
PRRC2A	0.707107	0	-0.707107	0	0	0
STRAP	0.707107	0	-0.707107	0	0	0
EIF2S3	0.964167	-1.03234	0.0681762	0	0	0
ADD3	1.01822	-0.980724	-0.0374974	0	0	0
DBNL	0.821279	-1.11358	0.292301	0	0	0
FLII	1.10653	-0.839094	-0.267433	0	0	0
MKI67	0.658704	-1.15068	0.491978	0	0	0
CD5	0.494982	-1.15095	0.655971	0	0	0
TMOD2	0.0713499	-1.00908	-0.407779	0	0	1.34551
MYO1B	-0.762141	-0.370166	1.13231	0	0	0
ILF2	-0.676713	-0.471918	1.14863	0	0	0
PSPC1	-1.08387	-0.921308	1.28443	0	0.177447	0.543303
MYO1D	-1.05594	0.123324	0.932618	0	0	0
PPP1R12A	-1.08725	0.206862	0.880391	0	0	0
RBM8A	-0.707107	0	0.707107	0	0	0
ADAR	-0.707107	0	0.707107	0	0	0
LARP4	-0.707107	0	0.707107	0	0	0
TFG	-0.707107	0	0.707107	0	0	0
PPP1CB	-1.00594	0.0119959	0.993948	0	0	0
ARPC2	-0.3749	-1.09921	1.26842	0	0	0.205688
RPL22	-0.400924	-1.05313	1.30713	0	0	0.146929
CD48	-0.301514	-0.81455	1.11606	0	0	0
CAPZA2	-0.335124	-0.789396	1.12452	0	0	0
UNC45A	-0.428551	-0.714303	1.14285	0	0	0
RUNX1	-0.482799	-0.666994	1.14979	0	0	0
CAPRIN1	-0.57794	-0.57676	1.1547	0	0	0
IQGAP1	-0.237495	-0.87608	1.71648	0	-0.146462	-0.456439
FXR2	0	-0.707107	0.707107	0	0	0
DHX9	0	-0.707107	0.707107	0	0	0
EIF2AK2	0	-0.707107	0.707107	0	0	0
FAM120A	0	-0.707107	0.707107	0	0	0
SPTBN1	-0.102562	-0.944767	1.04733	0	0	0
ADD1	0.144035	-1.06421	0.920172	0	0	0
EIF3I	0.0407522	-0.557469	1.38842	0	-0.871701	0
PRKRA	0.705914	-0.825606	1.01192	0	-0.89223	0
NOP2	-0.0538666	0.134876	1.43086	0	-1.3839	-0.127972
EMD	0.0370657	0.015627	1.19778	0	-1.25048	0
CORO1C	0.414029	0.344698	0.721075	0	-1.4798	0
MYL6B	0.414393	0.24714	0.798035	0	-1.45957	0
RSL1D1	0.697356	0.837037	-0.203334	0	-1.33106	0
RBM14	1.22455	0.120825	0.664577	0	-1.11512	-0.894835
VAPA	0.837128	0.863875	0.458151	0	-1.00193	-1.15723
HSPH1	0.513605	0.75137	0.195635	0	0	-1.46061
KIF2C	0.601694	0.595666	0.417457	0	0.142607	-1.75742
HNRNPH1	0.272855	0.487	0.715447	0	0	-1.4753
EIF4E	0.751861	0.146068	0.603676	0	0.229385	-1.73099
SRP9	0.11718	0.349544	1.69414	-0.613048	-0.315484	-1.23233
TMPO	0.500997	0.115178	1.67142	-0.459851	-0.740232	-1.08751
SYNCRIP	-0.365209	0	1.13127	0	0	-0.766061
KHDRBS1	0.752392	0.357013	1.17962	-1.50173	-0.811868	0.0245725
EIF3A	0.475715	0	0.673334	-1.14905	0	0
RPL36	0.83768	0.57298	1.01184	-1.46197	-0.06343	-0.897098
SERBP1	0.789952	0.579345	1.09352	-1.5207	-0.261039	-0.681086
RCC2	0.486247	0.53982	1.35589	-1.45205	-0.2494	-0.680505
JUND	0.556336	0.662929	0.258617	-1.47788	0	0
FOSL2	0.53569	0.675334	0.267321	-1.47834	0	0
IFI16	0.909052	0.790061	1.029	-0.951968	-0.828847	-0.947294
VCP	0.936367	0.928839	0.864866	-1.04605	-0.854172	-0.829849
CSNK2A3	1.25929	0.785036	0.611019	-1.03673	-0.950369	-0.668251
EIF4G1	0.918424	1.0132	0.113309	-1.13698	-0.907948	0
